show_id,title,StreamR,listed_in,date_added,release_year,country,Kids_TV,British,Cult,Crime,Docuseries,International,Kids,Reality,Romantic,Spanish,Stand_Up_Comedy,Action,Comedies,Dramas,Horror,Sci_Fi,TV_Shows
80217946,Killer Ratings,TV_Show,"Crime TV Shows, Docuseries, International TV Shows",5/31/2019,2019,,Crime TV Shows,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
80200549,When They See Us,TV_Show,"Crime TV Shows, TV Dramas",5/31/2019,2019,United States,Crime TV Shows,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
80994596,Crime Diaries: Night Out,TV_Show,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",5/3/2019,2019,Mexico,Crime TV Shows,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
80219707,Dead to Me,TV_Show,"TV Comedies, TV Dramas",5/3/2019,2019,United States,TV Comedies,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
80207066,Flinch,TV_Show,Reality TV,5/3/2019,2019,United Kingdom,Reality TV,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
80198137,Tuca & Bertie,TV_Show,TV Comedies,5/3/2019,2019,United States,TV Comedies,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
80225312,Undercover,TV_Show,"Crime TV Shows, International TV Shows, TV Dramas",5/3/2019,2019,"Belgium, Netherlands",Crime TV Shows,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
81013657,Charmed,TV_Show,"TV Dramas, TV Sci-Fi & Fantasy",5/27/2019,2019,United States,TV Dramas,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
80994222,Historical Roasts,TV_Show,"Stand-Up Comedy & Talk Shows, TV Comedies",5/27/2019,2019,United States,Stand-Up Comedy & Talk Shows,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
80239459,The Break with Michelle Wolf,TV_Show,"Stand-Up Comedy & Talk Shows, TV Comedies",5/27/2018,2018,United States,Stand-Up Comedy & Talk Shows,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
80993756,Kiss The Series,TV_Show,"International TV Shows, Romantic TV Shows, TV Dramas",5/26/2019,2016,,International TV Shows,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
80990935,Something in the Rain,TV_Show,"International TV Shows, Korean TV Shows, Romantic TV Shows",5/26/2018,2018,South Korea,International TV Shows,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
80993739,Sotus The Series,TV_Show,"International TV Shows, Romantic TV Shows, TV Dramas",5/25/2019,2016,Thailand,International TV Shows,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
81132060,Thackeray,TV_Show,TV Shows,5/25/2019,2019,India,TV Shows,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
81029429,Hyper HardBoiled Gourmet Report,TV_Show,"Docuseries, International TV Shows",5/24/2019,2017,,Docuseries,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
80197889,WHAT / IF,TV_Show,"TV Dramas, TV Thrillers",5/24/2019,2019,United States,TV Dramas,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
80100106,Dramaworld,TV_Show,"Romantic TV Shows, TV Comedies, TV Dramas",5/23/2016,2016,"United States, South Korea, China",Romantic TV Shows,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
80213536,Mob Psycho 100,TV_Show,"International TV Shows, TV Action & Adventure, TV Comedies",5/22/2018,2018,Japan,International TV Shows,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
80098046,12 Years Promise,TV_Show,"International TV Shows, Korean TV Shows, Romantic TV Shows",5/22/2017,2014,South Korea,International TV Shows,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
80091779,Beating Again,TV_Show,"International TV Shows, Korean TV Shows, Romantic TV Shows",5/22/2017,2015,South Korea,International TV Shows,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
80091783,Can We Get Married?,TV_Show,"International TV Shows, Korean TV Shows, Romantic TV Shows",5/22/2017,2012,South Korea,International TV Shows,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
80098047,Last,TV_Show,"Crime TV Shows, International TV Shows, Korean TV Shows",5/22/2017,2015,South Korea,Crime TV Shows,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
80091781,Secret Affair,TV_Show,"International TV Shows, Korean TV Shows, Romantic TV Shows",5/22/2017,2014,South Korea,International TV Shows,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
80091778,This Is My Love,TV_Show,"International TV Shows, Korean TV Shows, Romantic TV Shows",5/22/2017,2015,South Korea,International TV Shows,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
70212980,The Super Mario Bros. Super Show!,TV_Show,Kids' TV,5/22/2016,1989,"United States, Canada",Kids' TV,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
81076042,American Experience: The Circus,TV_Show,Docuseries,5/2/2019,2018,United States,Docuseries,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
80244271,Revenge,TV_Show,"Crime TV Shows, International TV Shows, TV Dramas",5/2/2019,2017,,Crime TV Shows,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
80121973,Behzat Ç.,TV_Show,"Crime TV Shows, International TV Shows, TV Dramas",5/19/2017,2010,Turkey,Crime TV Shows,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
80176819,Hidden Singer,TV_Show,"International TV Shows, Korean TV Shows, Reality TV",5/19/2017,2015,South Korea,International TV Shows,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
80173481,Highland: Thailand's Marijuana Awakening,TV_Show,"Docuseries, International TV Shows",5/19/2017,2017,Thailand,Docuseries,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
80122179,The Keepers,TV_Show,"Crime TV Shows, Docuseries, TV Mysteries",5/19/2017,2017,United States,Crime TV Shows,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
80996626,Dance & Sing with True,TV_Show,Kids' TV,5/18/2018,2018,,Kids' TV,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
