show_id,title,StreamR,listed_in,date_added,release_year,country
81012295,Weeds on Fire,Movie,"Dramas, Independent Movies, International Movies",2018-09-27,2016,Hong Kong
80060037,Much Loved,Movie,"Dramas, Independent Movies, International Movies",2017-09-27,2015,"France, Morocco"
60003155,Joseph: King of Dreams,Movie,"Children & Family Movies, Dramas, Faith & Spirituality",2011-09-27,2000,United States
81177238,Malaal,Movie,"International Movies, Romantic Movies",2019-09-26,2019,India
70270775,The Grandmaster,Movie,"Action & Adventure, Dramas, International Movies",2019-09-26,2013,"Hong Kong, China"
81025403,The Inmate,TV_Show,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",2019-09-26,2018,Mexico
80215923,The Hurricane Heist,Movie,Action & Adventure,2018-09-26,2018,United States
80151483,Def Comedy Jam 25,Movie,Stand-Up Comedy,2017-09-26,2017,United States
80173625,Restless Creature: Wendy Whelan,Movie,Documentaries,2017-09-26,2016,United States
80005444,Print the Legend,Movie,Documentaries,2014-09-26,2014,United States
80244682,Birders,Movie,"Documentaries, International Movies",2019-09-25,2019,"United States, Mexico"
81075519,Furie,Movie,"Action & Adventure, Dramas, International Movies",2019-09-25,2019,Vietnam
80166318,Leap!,Movie,"Children & Family Movies, Comedies",2019-09-25,2016,"France, Canada"
81186758,Oh! Baby (Malayalam),Movie,"Comedies, International Movies, Music & Musicals",2019-09-25,2019,India
81186757,Oh! Baby (Tamil),Movie,"Comedies, International Movies, Music & Musicals",2019-09-25,2019,India
80108976,USS Indianapolis: Men of Courage,Movie,Action & Adventure,2019-09-25,2016,United States
80208155,A Wrinkle in Time,Movie,Children & Family Movies,2018-09-25,2018,United States
80198423,Teach Us All,Movie,Documentaries,2017-09-25,2017,United States
80162144,White Island,Movie,"Comedies, Independent Movies, Thrillers",2017-09-25,2016,United Kingdom
81053953,Inside Man: Most Wanted,Movie,Action & Adventure,2019-09-24,2019,United States
81074113,Jeff Dunham: Beside Himself,Movie,Stand-Up Comedy,2019-09-24,2019,United States
80992496,China Salesman,Movie,"Action & Adventure, International Movies",2018-09-24,2017,China
70304191,Swearnet: The Movie,Movie,"Comedies, International Movies",2017-09-24,2014,Canada
80103311,The Bar,Movie,"Comedies, Horror Movies, International Movies",2017-09-24,2017,"Spain, Argentina"
81176200,Manmadhudu 2,Movie,"Comedies, Dramas, International Movies",2019-09-23,2019,India
80238106,Team Kaylie,TV_Show,"Kids' TV, TV Comedies",2019-09-23,2019,
80208906,Under the Eiffel Tower,Movie,"Comedies, Independent Movies, Romantic Movies",2019-09-23,2018,United States
80097321,Audrie & Daisy,Movie,Documentaries,2016-09-23,2016,United States
