Title,Year,Genre-Horror,Genre-Thriller,Genre-Sci-Fi,Genre-Mystery,Genre-Romance,Genre-Fantasy,Genre-Comdey,Genre-Drama,Genre-Crime,Genre-War,Genre-Western,Genre-Musical,Genre-Family,Genre-Adventure,Genre-Sport,Genre-History,Release Date,Release Country,Movie Rating,Review Rating,Movie Run Time,Plot,Cast,Language,Directors1,Cast1,Plot1
Blood Hunters ,2016, Horror,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,3-Dec-16,USA,TV-MA,4.1,90 min,"Directed by Tricia Lee. With Lara Gilchrist, Benjamin Arthur, Torri Higginson, Mark Taylor. Follows a single mother who wakes up in a medical facility to find that everyone is dead and she's nine months pregnant.",Lara Gilchrist|Benjamin Arthur|Torri Higginson|Mark Taylor|Julian Richings|Samuel Faraci|Peter Blankenstein|Tony Ning|Jonny Caines|Leah Doz|Breeanna Booth|Briar Nolet|Mark Kalpakis|Ana Shepherd|Sean Kaufmann,English,Directed by Tricia Lee," With Lara Gilchrist, Benjamin Arthur, Torri Higginson, Mark Taylor", Follows a single mother who wakes up in a medical facility to find that everyone is dead and she's nine months pregnant
V/H/S Viral ,2014, Horror,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,23-Oct-14,USA,R,4.2,81 min,"Directed by Justin Benson, Gregg Bishop, Todd Lincoln. With Patrick Lawrie, Emilia Ares Zoryan, Celia K. Milius, Steve Berens. A Los Angeles police chase sends a fame-obsessed man on a wild ride to save his girlfriend from a cybernetic terror.",Patrick Lawrie|Emilia Ares Zoryan|Celia K. Milius|Steve Berens|Garrett Bales|Ashley Rivers|Stephanie Silver|Charles Johnson|Ryan Staats|Robert Andrew Sallberg|Brad Collin|Donald Taylor Knott|Val Vega|Angela Garcia|Vanessa Siqueiros,English|Spanish,"Directed by Justin Benson, Gregg Bishop, Todd Lincoln"," With Patrick Lawrie, Emilia Ares Zoryan, Celia K"," Milius, Steve Berens"
Wyrmwood: Road of the Dead ,2014, Horror,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,13-Feb-15,USA,NOT RATED,6.3,98 min,"Directed by Kiah Roache-Turner. With Jay Gallagher, Bianca Bradey, Leon Burchill, Keith Agius. A talented mechanic prepares to battle his way through hordes of flesh-eating monsters after his sister is kidnapped on the eve of a zombie apocalypse.",Jay Gallagher|Bianca Bradey|Leon Burchill|Keith Agius|Berynn Schwerdt|Luke McKenzie|Cain Thompson|Damian Dyke|Yure Covich|Catherine Terracini|Meganne West|Beth Aubrey|Sheridan Harbridge|Damion Hunter|Alfred Coolwell,English,Directed by Kiah Roache-Turner," With Jay Gallagher, Bianca Bradey, Leon Burchill, Keith Agius", A talented mechanic prepares to battle his way through hordes of flesh-eating monsters after his sister is kidnapped on the eve of a zombie apocalypse
The Pyramid ,2014, Horror, Thriller,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,5-Dec-14,USA,R,4.6,89 min,"Directed by Grégory Levasseur. With Ashley Hinshaw, James Buckley, Denis O'Hare, Christa Nicola. An archaeological team attempts to unlock the secrets of a lost pyramid only to find themselves hunted by an insidious creature.",Ashley Hinshaw|Denis O'Hare|James Buckley|Christa Nicola|Amir K|Faycal Attougui|Philip Shelley|Ait Hamou Amine|Omar Benbrahim|Joseph Beddelem|Chakir El Faaiz,English,Directed by Grégory Levasseur," With Ashley Hinshaw, James Buckley, Denis O'Hare, Christa Nicola", An archaeological team attempts to unlock the secrets of a lost pyramid only to find themselves hunted by an insidious creature
WolfCop ,2014, Horror,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,25-Feb-15,Philippines,UNRATED,5.5,79 min,"Directed by Lowell Dean. With Leo Fafard, Amy Matysio, Sarah Lind, Corinne Conley. As a series of strange and violent events begin to occur, an alcoholic policeman realizes that he has been turned into a werewolf as part of a larger plan.",Leo Fafard|Amy Matysio|Sarah Lind|Corinne Conley|Jesse Moss|Jonathan Cherry|Aidan Devine|James Whittingham|Ryland Alexander|Jason Shabatoski|Lyndon Bray|Victor Lam|Cheryl Mazil|Laura Abramsen|Josh Strait,English,Directed by Lowell Dean," With Leo Fafard, Amy Matysio, Sarah Lind, Corinne Conley"," As a series of strange and violent events begin to occur, an alcoholic policeman realizes that he has been turned into a werewolf as part of a larger plan"
Vampire ,2011, Horror, Thriller,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,15-Sep-12,Japan,R,5.4,120 min,"Directed by Shunji Iwai. With Kevin Zegers, Keisha Castle-Hughes, Amanda Plummer, Trevor Morgan. A biology teacher looks for young suicidal women online to satisfy his taste for blood. Rather than violent, his acts are quite peaceful and always consented.",Kevin Zegers|Keisha Castle-Hughes|Amanda Plummer|Trevor Morgan|Adelaide Clemens|Yû Aoi|Kristin Kreuk|Rachael Leigh Cook|Jodi Balfour|Ian Brown|R. Nelson Brown|Kyle Cameron|Samuel Patrick Chu|Dustin Eriksen|Herod Gilani,English,Directed by Shunji Iwai," With Kevin Zegers, Keisha Castle-Hughes, Amanda Plummer, Trevor Morgan", A biology teacher looks for young suicidal women online to satisfy his taste for blood
Extraordinary Tales ,2013, Horror,NO GENRE,NO GENRE, Mystery,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,23-Oct-15,USA,NOT RATED,6.4,73 min,"Directed by Raul Garcia. With Christopher Lee, Bela Lugosi, Julian Sands, Guillermo del Toro. An animated anthology of 5 stories adapted from Edgar Allan Poe.",Christopher Lee|Bela Lugosi|Julian Sands|Guillermo del Toro|Roger Corman|Stephen Hughes|Cornelia Funke,English,Directed by Raul Garcia," With Christopher Lee, Bela Lugosi, Julian Sands, Guillermo del Toro", An animated anthology of 5 stories adapted from Edgar Allan Poe
Zombie Ass: The Toilet of the Dead ,2011, Horror,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,25-Feb-12,Japan,NOT RATED,4.8,85 min,"Directed by Noboru Iguchi. With Arisa Nakamura, Mayu Sugano, Asana Mamoru, Yûki. Wracked with guilt over the suicide of her bullied sister, young karate student Megumi accompanies four older friends on a trip into the woods: smart girl Aya, her druggie boyfriend Také, full-figured model Maki, and nerdy Naoi. Things start to go badly when Maki finds a parasitical worm inside a fish - and wolfs it down, in the hope that it will keep her skinny. Her stomach later feels horrible ...",Arisa Nakamura|Mayu Sugano|Asana Mamoru|Yûki|Danny|Kentaro Kishi|Demo Tanaka|Asami|Sayuri Yajima|Haru Shiina|Yûya Ishikawa|Hideki Kurauchi|Takeo Gozu|Midori Aoyama|Yukihiro Haruzono,Japanese,Directed by Noboru Iguchi," With Arisa Nakamura, Mayu Sugano, Asana Mamoru, Yûki"," Wracked with guilt over the suicide of her bullied sister, young karate student Megumi accompanies four older friends on a trip into the woods: smart girl Aya, her druggie boyfriend Také, full-figured model Maki, and nerdy Naoi"
Among Friends ,2012, Horror,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,7-Jan-14,Netherlands,R,4.5,80 min,"Directed by Danielle Harris. With Alyssa Lobit, Jennifer Blanc-Biehn, Kamala Jones, AJ Bowen. A group of friends get together for a murder mystery party, but things take a dark turn when one hijacks the evening and is out for blood.",Alyssa Lobit|Jennifer Blanc-Biehn|Kamala Jones|AJ Bowen|Brianne Davis|Christopher Backus|Dana Daurey|Chris Meyer|Kane Hodder|Bryan Kirkwood|Denny Kirkwood|Amber West|Matthew Ziff|Lorraine Ziff|Nate Vormehr,English,Directed by Danielle Harris," With Alyssa Lobit, Jennifer Blanc-Biehn, Kamala Jones, AJ Bowen"," A group of friends get together for a murder mystery party, but things take a dark turn when one hijacks the evening and is out for blood"
The Stranger ,2014, Horror, Thriller,NO GENRE, Mystery,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,12-Jun-15,USA,NOT RATED,4.9,93 min,"Directed by Guillermo Amoedo. With Cristobal Tapia Montt, Lorenza Izzo, Luis Gnecco, Ariel Levy. A mysterious man arrives in a small American town seeking his wife, though his presence plunges the community into a bloodbath.",Cristobal Tapia Montt|Lorenza Izzo|Luis Gnecco|Ariel Levy|Nicolás Durán|Alessandra Guerzoni|Aaron Burns|Pablo Vila|Sally Rose|John Allan|Eric Kleinsteuber|Nicolás Platovsky|Tessie Spoljaric-Woodgate|Constanza Contreras|Elvis Gonzalez,English,Directed by Guillermo Amoedo," With Cristobal Tapia Montt, Lorenza Izzo, Luis Gnecco, Ariel Levy"," A mysterious man arrives in a small American town seeking his wife, though his presence plunges the community into a bloodbath"
Dark Summer ,2015, Horror,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,9-Jan-15,USA,NOT RATED,4.2,81 min,"Directed by Paul Solet. With Keir Gilchrist, Stella Maeve, Maestro Harrell, Gracie Gillam. A 17-year-old is on house arrest for the summer while his mother is away on business. A horrifying incident occurs leaving an ominous presence in the house.",Keir Gilchrist|Stella Maeve|Maestro Harrell|Gracie Gillam|Peter Stormare|Dinora Walcott,English,Directed by Paul Solet," With Keir Gilchrist, Stella Maeve, Maestro Harrell, Gracie Gillam", A 17-year-old is on house arrest for the summer while his mother is away on business
Dead Rising: Endgame ,2016, Horror,NO GENRE, Sci-Fi,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,20-Jun-16,USA,NOT RATED,4.8,96 min,"Directed by Pat Williams. With Jesse Metcalfe, Marie Avgeropoulos, Ian Tracey, Keegan Connor Tracy. In a zombie-infested quarantined zone of East Mission City, investigative reporter Chase Carter must stop a secret government conspiracy.",Jesse Metcalfe|Marie Avgeropoulos|Ian Tracey|Keegan Connor Tracy|Jessica Harmon|Patrick Sabongui|Camille Sullivan|Jim Thorburn|Billy Zane|Dennis Haysbert|Teach Grant|Lee Majdoub|Sandy Robson|Donavon Stinson|Peter Kelamis,English,Directed by Pat Williams," With Jesse Metcalfe, Marie Avgeropoulos, Ian Tracey, Keegan Connor Tracy"," In a zombie-infested quarantined zone of East Mission City, investigative reporter Chase Carter must stop a secret government conspiracy"
Home Sweet Home ,2013, Horror,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,14-May-13,USA,R,4.7,80 min,"Directed by David Morlet. With Meghan Heffern, Adam MacDonald, Shaun Benson, Marty Adams. A young married couple comes home from a date night to discover that they are imprisoned in their own house with a methodical killer inside.",Meghan Heffern|Adam MacDonald|Shaun Benson|Marty Adams|Barbara Gordon|Lancelot,English,Directed by David Morlet," With Meghan Heffern, Adam MacDonald, Shaun Benson, Marty Adams", A young married couple comes home from a date night to discover that they are imprisoned in their own house with a methodical killer inside
Stage Fright ,2014, Horror,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE, Musical,NO GENRE,NO GENRE,NO GENRE,NO GENRE,3-Apr-14,USA,R,5.2,89 min,"Directed by Jerome Sable. With Minnie Driver, Meat Loaf, Allie MacDonald, Douglas Smith. A snobby musical theater camp is terrorized by a blood-thirsty killer who hates musical theater.",Minnie Driver|Meat Loaf|Allie MacDonald|Douglas Smith|Kent Nolan|Brandon Uranowitz|Ephraim Ellis|Melanie Leishman|Thomas Alderson|James McGowan|Eli Batalion|Steffi DiDomenicantonio|Darren Summersby|Leanne Miller|Adrianna Di Liello,English,Directed by Jerome Sable," With Minnie Driver, Meat Loaf, Allie MacDonald, Douglas Smith", A snobby musical theater camp is terrorized by a blood-thirsty killer who hates musical theater
Monster Brawl ,2011, Horror,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE, Sport,NO GENRE,30-Mar-12,USA,NOT RATED,3.6,89 min,"Directed by Jesse Thomas Cook. With Dave Foley, Art Hindle, Robert Maillet, Jimmy Hart. Eight classic monsters fight to the death in an explosive wrestling tournament set inside an abandoned and cursed graveyard.",Dave Foley|Art Hindle|Robert Maillet|Jimmy Hart|Herb Dean|Kevin Nash|Lance Henriksen|Jason David Brown|Rj Skinner|Rico Montana|Courtney Rush|Kelly Couture|Jason Deline|Ari Millen|John Geddes,English|Egyptian (Ancient),Directed by Jesse Thomas Cook," With Dave Foley, Art Hindle, Robert Maillet, Jimmy Hart", Eight classic monsters fight to the death in an explosive wrestling tournament set inside an abandoned and cursed graveyard
Fear Clinic ,2014, Horror,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,30-Jan-15,USA,R,5.2,95 min,"Directed by Robert Hall. With Robert Englund, Fiona Dourif, Felisha Terrell, Cleopatra Coleman. A doctor works to cure patients suffering from crippling phobias by placing them inside his invention, which induces and controls hallucinations.",Robert Englund|Fiona Dourif|Felisha Terrell|Cleopatra Coleman|Corey Taylor|Brandon Beemer|Bonnie Morgan|Kevin Gage|Angelina Armani|Thomas Dekker|Nancy Telzerow|Ryder Gage|Cherie McClain|Ashley Jean Ross|Will Ujek,English,Directed by Robert Hall," With Robert Englund, Fiona Dourif, Felisha Terrell, Cleopatra Coleman"," A doctor works to cure patients suffering from crippling phobias by placing them inside his invention, which induces and controls hallucinations"
Aftershock ,2012, Horror, Thriller,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,12-Jun-14,Chile,R,4.8,89 min,"Directed by Nicolás López. With Eli Roth, Ariel Levy, Nicolás Martínez, Andrea Osvárt. In Chile, a group of travelers who are in an underground nightclub when a massive earthquake hits quickly learn that reaching the surface is just the beginning of their nightmare.",Eli Roth|Andrea Osvárt|Ariel Levy|Natasha Yarovenko|Nicolás Martínez|Lorenza Izzo|Marcial Tagle|Ramón Llao|Ignacia Allamand|Paz Bascuñán|Matías López|Patricio Strahovsky|Álvaro López Álvarez|Adrián Salgado|Enrique Quiroz,Spanish|English,Directed by Nicolás López," With Eli Roth, Ariel Levy, Nicolás Martínez, Andrea Osvárt"," In Chile, a group of travelers who are in an underground nightclub when a massive earthquake hits quickly learn that reaching the surface is just the beginning of their nightmare"
Felt ,2014, Horror,NO GENRE,NO GENRE,NO GENRE, Romance,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,20-Sep-14,USA,NOT RATED,4.7,80 min,"Directed by Jason Banker. With Amy Everson, Kentucker Audley, Ryan Creighton, Elisabeth Ferrara. A woman creates an alter ego in hopes of overcoming the trauma inflicted by men in her life.",Amy Everson|Kentucker Audley|Ryan Creighton|Elisabeth Ferrara|Roxanne Knouse|Merkley|Brendan Miller|Alanna Reynolds|Antonio Ruiz Jr.|Mark Skubala|Brandileigha Stracner,English,Directed by Jason Banker," With Amy Everson, Kentucker Audley, Ryan Creighton, Elisabeth Ferrara", A woman creates an alter ego in hopes of overcoming the trauma inflicted by men in her life
Go Goa Gone ,2013, Horror,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE, Comedy,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,10-May-13,India,NOT RATED,6.7,108 min,"Directed by Krishna D.K., Raj Nidimoru. With Saif Ali Khan, Kunal Khemu, Vir Das, Anand Tiwari. A group of friends, just looking to have a good time in a rave party on a remote island in Goa, find out that the island is infested with Zombies.",Saif Ali Khan|Kunal Khemu|Vir Das|Anand Tiwari|Puja Gupta|Hardik Malaviya|Soha Ali Khan|Pitobash|Suparn Verma,Hindi,Directed by Krishna D,K,", Raj Nidimoru"
Grave Encounters II,2012, Horror,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,2-Oct-12,USA,NOT RATED,5.1,95 min,"Directed by John Poliquin. With Richard Harmon, Shawn C. Phillips, Jennica Fulton, Jeffrey Bowyer-Chapman. A film student who is obsessed with the movie Grave Encounters sets out with his friends to visit the psychiatric hospital depicted in the original film.",Shawn C. Phillips|Jennica Fulton|Jeffrey Bowyer-Chapman|Charlie Kerr|Francisco Passuelo|Andrew Amphlett|J. Jones|Mike Holtz|Calvin Walantus|Zach Lorkiewicz|Chris Hill|Brandon Christensen|Tessa Paige Bildstein|Simone Belshaw|Nikkie Mucci,English,Directed by John Poliquin," With Richard Harmon, Shawn C"," Phillips, Jennica Fulton, Jeffrey Bowyer-Chapman"
Crawlspace ,2012, Horror, Thriller, Sci-Fi,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,12-Nov-12,UK,UNRATED,4.8,86 min,"Directed by Justin Dix. With Nicholas Bell, Ngaire Dawn Fair, John Brumpton, Fletcher Humphrys. A special forces unit sent, to infiltrate Pine Gap Australia's top secret underground military compound, come under attack from unknown forces.",Amber Clayton|Ditch Davey|Eddie Baroo|Peta Sergeant|Fletcher Humphrys|Nicholas Bell|Samuel Johnson|David Whiteley|Ngaire Dawn Fair|Elise Jansen|Leslie Simpson|John Brumpton|Alistair Cooke|Nathan McCalman|James Roach,English,Directed by Justin Dix," With Nicholas Bell, Ngaire Dawn Fair, John Brumpton, Fletcher Humphrys"," A special forces unit sent, to infiltrate Pine Gap Australia's top secret underground military compound, come under attack from unknown forces"
Amber Alert ,2012, Horror, Thriller,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,2-Nov-12,USA,R,4.6,80 min,"Directed by Kerry Bellessa. With Summer Bellessa, Chris Hill, Jasen Wade, Caleb Thompson. When a group of friends decides to follow a car they've seen posted on an Amber Alert, things start to go very wrong.",Summer Bellessa|Chris Hill|Jasen Wade|Caleb Thompson|Brooke Thompson|Tom Murray|Chief Jordan,English,Directed by Kerry Bellessa," With Summer Bellessa, Chris Hill, Jasen Wade, Caleb Thompson"," When a group of friends decides to follow a car they've seen posted on an Amber Alert, things start to go very wrong"
Darkness Rising ,2017, Horror,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,30-Jun-17,USA,UNRATED,3.3,81 min,"Directed by Austin Reading. With Tara Holt, Christian Ganiere, Bryce Johnson, Katrina Law. A woman and her friends break into her abandoned childhood home, where her mother went mad and nearly murdered as a child.",Tara Holt|Christian Ganiere|Bryce Johnson|Katrina Law|Heather Mazur|Ted Raimi|Myk Watford,English,Directed by Austin Reading," With Tara Holt, Christian Ganiere, Bryce Johnson, Katrina Law"," A woman and her friends break into her abandoned childhood home, where her mother went mad and nearly murdered as a child"
Cassadaga ,2011, Horror,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,11-Oct-13,USA,R,5.3,108 min,"Directed by Anthony DiBlasi. With Kelen Coleman, Avis-Marie Barnes, Kevin Alejandro, Louise Fletcher. A deaf woman who resurrects the ghost of a murdered young woman is forced by the spirit to a serial killer who turns his female victims into marionette dolls.",Kelen Coleman|Kevin Alejandro|Louise Fletcher|Rus Blackwell|Lucas Beck|Lucius Baston|Amy LoCicero|Sarah Sculco|Rachel Durose|Avis-Marie Barnes|Hank Stone|Christina Bach|Carlos Navarro|Amy Dionne|Janine Klein,English,Directed by Anthony DiBlasi," With Kelen Coleman, Avis-Marie Barnes, Kevin Alejandro, Louise Fletcher", A deaf woman who resurrects the ghost of a murdered young woman is forced by the spirit to a serial killer who turns his female victims into marionette dolls
The Possession Experiment ,2016, Horror,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,17-Nov-16,Peru,NOT RATED,3.6,84 min,"Directed by Scott B. Hansen. With Chris Minor, Jake Brinn, Nicky Jasper, Kt Fanelli. When a student takes on a theology project, he taps into another side that had been hidden away from him.",Chris Minor|Jake Brinn|Nicky Jasper|Kt Fanelli|Bill Moseley|Mark Joy|Rachel Faulkner|Greg Travis|Dallas T. Taylor|Ron Dressel|Scott Mielock|Ricky D'Alonzo|Terry Jernigan|Sheri Gill Dixon|Ryan Ware,English,Directed by Scott B, Hansen," With Chris Minor, Jake Brinn, Nicky Jasper, Kt Fanelli"
WNUF Halloween Special ,2013, Horror,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,18-Oct-13,USA,NOT RATED,6.7,83 min,"Directed by Chris LaMartina, James Branscome, Shawn Jones. With Paul Fahrenkopf, Aaron Henkin, Nicolette le Faye, Leanna Chamish. Originally broadcast live on October 31, 1987, the 'WNUF Halloween Special' is a stunning expose of terrifying supernatural activity that unfolded at the infamous Webber House, the site of ghastly murders. Local television personality Frank Stewart leads a group of paranormal investigators including Catholic exorcist, Father Joseph Matheson and the prolific husband-and-wife team Louis and Claire ...",Paul Fahrenkopf|Aaron Henkin|Nicolette le Faye|Leanna Chamish|Richard Cutting|Brian St. August|Helenmary Ball|Robert Long II|Sabrina Taylor-Smith|Thomas Lee Johnson|Kendra North|Frederick Cowie|Bob Creager|Ron LaMartina|George Stover,English,"Directed by Chris LaMartina, James Branscome, Shawn Jones"," With Paul Fahrenkopf, Aaron Henkin, Nicolette le Faye, Leanna Chamish"," Originally broadcast live on October 31, 1987, the 'WNUF Halloween Special' is a stunning expose of terrifying supernatural activity that unfolded at the infamous Webber House, the site of ghastly murders"
Bigfoot: The Lost Coast Tapes ,2012, Horror, Thriller,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,26-Oct-12,USA,NOT RATED,4.5,90 min,"Directed by Corey Grant. With Drew Rausch, Rich McDonald, Ashley Wood, Noah Weisberg. After a ""Bigfoot Hunter"" claims to possess the body of a dead Sasquatch, a disgraced investigative journalist stakes his comeback -- and the lives of his documentary film crew -- on proving the find to be a hoax.",Drew Rausch|Rich McDonald|Ashley Wood|Noah Weisberg|Frank Ashmore|Rowdy Kelley|Japheth Gordon|Sweetie Sherrié|Alan Carnes|Brittani Ebert|Loren Lester|Travis McHenry|Chrisón Thompson|Donal Thoms-Cappello,English,Directed by Corey Grant," With Drew Rausch, Rich McDonald, Ashley Wood, Noah Weisberg"," After a ""Bigfoot Hunter"" claims to possess the body of a dead Sasquatch, a disgraced investigative journalist stakes his comeback -- and the lives of his documentary film crew -- on proving the find to be a hoax"
Don't Blink ,2014, Horror, Thriller,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,18-Sep-14,USA,NOT RATED,4.8,92 min,"Directed by Travis Oates. With Mena Suvari, Joanne Kelly, Brian Austin Green, Robert Picardo. Ten people arrive at a secluded mountain resort to find it completely deserted. With no gas for the return trip, the visitors are forced to stay and investigate the mystery surrounding the abandoned lodge.",Mena Suvari|Joanne Kelly|Brian Austin Green|Robert Picardo|Zack Ward|Fiona Gubelmann|David de Lautour|Leif Gantvoort|Samantha Jacober|Boots Southerland|Curtiss Frisle|Emelie O'Hara|Nathan Lorbietzki,English,Directed by Travis Oates," With Mena Suvari, Joanne Kelly, Brian Austin Green, Robert Picardo", Ten people arrive at a secluded mountain resort to find it completely deserted
White God ,2014, Horror, Thriller,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,12-Jun-14,Hungary,R,6.9,121 min,"Directed by Kornél Mundruczó. With Zsófia Psotta, Sándor Zsótér, Lili Horváth, Szabolcs Thuróczy. Thirteen-year-old Lili fights to protect her dog Hagen. She is devastated when her father eventually sets Hagen free on the streets. Still innocently believing love can conquer any difficulty, Lili sets out to find her dog and save him.",Zsófia Psotta|Sándor Zsótér|Lili Horváth|Szabolcs Thuróczy|Lili Monori|Gergely Bánki|Tamás Polgár|Károly Ascher|Tsogbaatar Batzorig|Erika Bodnár|Body|Bence Csepeli|János Derzsi|Ruby Ben Eli|Csaba Faix,Hungarian|English,Directed by Kornél Mundruczó," With Zsófia Psotta, Sándor Zsótér, Lili Horváth, Szabolcs Thuróczy", Thirteen-year-old Lili fights to protect her dog Hagen
Antiviral ,2012, Horror, Thriller,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,13-Feb-13,France,NOT RATED,5.7,108 min,"Directed by Brandon Cronenberg. With Caleb Landry Jones, Lisa Berry, Sarah Gadon, Malcolm McDowell. In a blackly satirical near future, a thriving industry sells celebrity illnesses to their obsessed fans. Employee Syd March's attempts to exploit the system backfire when they involve him in a potentially deadly mystery.",Caleb Landry Jones|Sarah Gadon|Lisa Berry|Douglas Smith|Nenna Abuwa|Donna Goodhand|Adam Bogen|Salvatore Antonio|Matt Watts|Dawn Greenhalgh|Katie Bergin|Nicholas Campbell|Lara Jean Chorostecki|Reid Morgan|Elitsa Bako,English,Directed by Brandon Cronenberg," With Caleb Landry Jones, Lisa Berry, Sarah Gadon, Malcolm McDowell"," In a blackly satirical near future, a thriving industry sells celebrity illnesses to their obsessed fans"
