Title,Year,Genre-Horror,Genre-Thriller,Genre-Sci-Fi,Genre-Mystery,Genre-Romance,Genre-Fantasy,Genre-Comdey,Genre-Drama,Genre-Crime,Genre-War,Genre-Western,Genre-Musical,Genre-Family,Genre-Adventure,Genre-Sport,Genre-History,Release Date,Release Country,Movie Rating,Review Rating,Movie Run Time,Plot,Cast,Language,Directors1,Cast1,Plot1
Open Grave ,2013, Horror, Thriller,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,3-Jan-14,USA,R,6.3,102 min,"Directed by Gonzalo López-Gallego. With Sharlto Copley, Thomas Kretschmann, Josie Ho, Joseph Morgan. A man wakes up in the wilderness, in a pit full of dead bodies, with no memory and must determine if the murderer is one of the strangers who rescued him, or if he himself is the killer.",Sharlto Copley|Thomas Kretschmann|Josie Ho|Joseph Morgan|Erin Richards|Max Wrottesley|Márta Szabó|Balázs Szitás|Zsuzsa Szabados|Tofi Seffer|Éva Botos|Kati Dombi|Araceli Sanz|Pedro De Santiago,English,Directed by Gonzalo López-Gallego," With Sharlto Copley, Thomas Kretschmann, Josie Ho, Joseph Morgan"," A man wakes up in the wilderness, in a pit full of dead bodies, with no memory and must determine if the murderer is one of the strangers who rescued him, or if he himself is the killer"
Jack & Diane ,2012, Horror,NO GENRE,NO GENRE,NO GENRE, Romance,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,20-Apr-12,USA,R,4.5,110 min,"Directed by Bradley Rust Gray. With Riley Keough, Juno Temple, Kylie Minogue, Jackson Ning. Diane's feelings for Jack -- the girl she met over the summer -- begin to manifest themselves in terrifying ways when she learns that her friend will soon be moving away.",Juno Temple|Jackson Ning|Samantha Ives|Anika Jennie Ji|Michael Chernus|Riley Keough|Thysson George Williams|Rock Kohli|Neal Huff|Cara Seymour|Haviland Morris|Kylie Minogue|Zohren Weiss|Hayley Hunt|Lou Taylor Pucci,English,Directed by Bradley Rust Gray," With Riley Keough, Juno Temple, Kylie Minogue, Jackson Ning", Diane's feelings for Jack -- the girl she met over the summer -- begin to manifest themselves in terrifying ways when she learns that her friend will soon be moving away
Banshee Chapter ,2013, Horror, Thriller,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,12-Dec-13,USA,R,5.5,87 min,"Directed by Blair Erickson. With Katia Winter, Ted Levine, Michael McMillian, Corey Moosa. Journalist Anne Roland explores the disturbing links behind her friend's sudden disappearance, an ominous government research chemical, and a disturbing radio broadcast of unknown origin.",Katia Winter|Ted Levine|Michael McMillian|Corey Moosa|Monique Candelaria|Jenny Gabrielle|Vivian Nesbitt|Chad Brummett|William Sterchi|Alex Gianopoulos|J.D. Garfield|Kevin Wiggins|Cyd Schulte|Tone Forrest|Maud de Proost,English,Directed by Blair Erickson," With Katia Winter, Ted Levine, Michael McMillian, Corey Moosa"," Journalist Anne Roland explores the disturbing links behind her friend's sudden disappearance, an ominous government research chemical, and a disturbing radio broadcast of unknown origin"
[REC] 4: Apocalypse ,2014, Horror,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,31-Oct-14,Spain,R,5.4,95 min,"Directed by Jaume Balagueró. With Manuela Velasco, Paco Manzanedo, Héctor Colomé, Ismael Fritschi. An ill-fated television reporter is rescued and sent on a voyage across the ocean, but she is followed by the deadly virus that has plagued her and numerous others.",Manuela Velasco|Paco Manzanedo|Héctor Colomé|Ismael Fritschi|Críspulo Cabezas|Mariano Venancio|María Alfonsa Rosso|Carlos Zabala|Cristian Aquino|Emilio Buale|Paco Obregón|Javier Laorden|Ramiro Blas|Ferran Terraza|Carlos Lasarte,Spanish,Directed by Jaume Balagueró," With Manuela Velasco, Paco Manzanedo, Héctor Colomé, Ismael Fritschi"," An ill-fated television reporter is rescued and sent on a voyage across the ocean, but she is followed by the deadly virus that has plagued her and numerous others"
Patrick ,2013, Horror,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,14-Mar-14,USA,NOT RATED,4.9,96 min,"Directed by Mark Hartley. With Charles Dance, Rachel Griffiths, Sharni Vinson, Peta Sergeant. At a private clinic, a young nurse soon discovers that one of the comatose patients is quite sinister.",Charles Dance|Rachel Griffiths|Sharni Vinson|Peta Sergeant|Damon Gameau|Martin Crewes|Eliza Taylor|Simone Buchanan|Shane Nagle|Chris Fortuna|Rod Mullinar|María Mercedes|Camilla Jackson|Brendan Bacon|Carole-Ann Aylett,English,Directed by Mark Hartley," With Charles Dance, Rachel Griffiths, Sharni Vinson, Peta Sergeant"," At a private clinic, a young nurse soon discovers that one of the comatose patients is quite sinister"
Road Games ,2015, Horror, Thriller,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,4-Mar-16,USA,NOT RATED,5.7,95 min,"Directed by Abner Pastoll. With Andrew Simpson, Joséphine de La Baume, Frédéric Pierrot, Barbara Crampton. The sun drenched days of summer turn dark and ominous for hitchhiking duo Jack and Véronique when they become inexplicably entangled with a mysterious married couple and a local road kill collector in rural France.",Andrew Simpson|Joséphine de La Baume|Frédéric Pierrot|Barbara Crampton|Féodor Atkine|Pierre Boulanger|Susanna Cappellaro|Edward Hogg|Clémentine Alexandre|Erwan Hiernard|Lucie Belhomme|April Kelley,English|French,Directed by Abner Pastoll," With Andrew Simpson, Joséphine de La Baume, Frédéric Pierrot, Barbara Crampton", The sun drenched days of summer turn dark and ominous for hitchhiking duo Jack and Véronique when they become inexplicably entangled with a mysterious married couple and a local road kill collector in rural France
Alien Uprising ,2012, Horror,NO GENRE, Sci-Fi,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,14-Dec-13,UK,R,3.1,101 min,"Directed by Dominic Burns. With Bianca Brigitte VanDamme, Andrew Shim, Sean Brosnan, Simon Phillips. The real ""battle"" is the insurgence within mankind itself.",Bianca Brigitte VanDamme|Sean Brosnan|Simon Phillips|Maya Grant|Jazz Lintott|Andrew Shim|Peter Barrett|Joey Ansah|Amelia Linney|Raji James|Sean Pertwee|Julian Glover|Jean-Claude Van Damme|Perry Fitzpatrick|Christian Howard,English,Directed by Dominic Burns," With Bianca Brigitte VanDamme, Andrew Shim, Sean Brosnan, Simon Phillips"," The real ""battle"" is the insurgence within mankind itself"
Rigor Mortis ,2013, Horror,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,6-Jun-14,USA,NOT RATED,6.3,103 min,"Directed by Juno Mak. With Anthony Chan, Siu-Ho Chin, Fat Chung, Kara Hui. A public housing tenement is plunged into a dark storm of supernatural chaos.",Anthony Chan|Siu-Ho Chin|Fat Chung|Kara Hui|Chun-Man Ko|Giselle Lam|Billy Lau|Hoi-Pang Lo|Richard Ng|Hee Ching Paw,Cantonese,Directed by Juno Mak," With Anthony Chan, Siu-Ho Chin, Fat Chung, Kara Hui", A public housing tenement is plunged into a dark storm of supernatural chaos
Backtrack ,2015, Horror, Thriller,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,29-Jan-16,UK,R,5.9,90 min,"Directed by Michael Petroni. With Adrien Brody, Jenni Baird, Bruce Spence, Greg Poppleton. Psychologist Peter Bower's life is thrown into turmoil when he discovers a strange secret about his patients. Risking his own sanity, Peter delves into his past to uncover a terrifying secret which only he can put right. But is the reward worth risking more than a single life?",Adrien Brody|Jenni Baird|Bruce Spence|Greg Poppleton|Barbara Gouskos|Jill McKay|Sam Neill|Anna Lise Phillips|Chloe Bayliss|Emma O'Farrell|Malcolm Kennard|Matthew Sunderland|George Shevtsov|Robin McLeavy|Jesse Hyde,English,Directed by Michael Petroni," With Adrien Brody, Jenni Baird, Bruce Spence, Greg Poppleton", Psychologist Peter Bower's life is thrown into turmoil when he discovers a strange secret about his patients
The Stakelander ,2016, Horror,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,7-Feb-17,USA,TV-MA,5.3,81 min,"Directed by Dan Berk, Robert Olsen. With Connor Paolo, Nick Damici, Laura Abramsen, A.C. Peterson. When his home of New Eden is destroyed by a revitalized Brotherhood and its new Vamp leader, Martin finds himself alone in the badlands of America with only the distant memory of his mentor and legendary vampire hunter, Mister, to guide him.",Connor Paolo|Nick Damici|Laura Abramsen|A.C. Peterson|Steven Williams|Bonnie Dennison|Kristina Hughes|Zane Clifford|Jaime Bird|Nicole Garies|Blaine Hart|Kathryn Bracht|Alex Arsenault|Dylan Sthamann|Tim Lynchuk,English,"Directed by Dan Berk, Robert Olsen"," With Connor Paolo, Nick Damici, Laura Abramsen, A",C
A Field in England ,2013, Horror,NO GENRE,NO GENRE, Mystery,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,5-Jul-13,UK,NOT RATED,6.3,90 min,"Directed by Ben Wheatley. With Julian Barratt, Peter Ferdinando, Richard Glover, Ryan Pope. Amid the Civil War in 17th-century England, a group of deserters flee from battle through an overgrown field. Captured by an alchemist, the men are forced to help him search to find a hidden treasure that he believes is buried in the field.",Julian Barratt|Peter Ferdinando|Richard Glover|Ryan Pope|Reece Shearsmith|Michael Smiley|Sara Dee,English,Directed by Ben Wheatley," With Julian Barratt, Peter Ferdinando, Richard Glover, Ryan Pope"," Amid the Civil War in 17th-century England, a group of deserters flee from battle through an overgrown field"
Stung ,2015, Horror,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,29-Oct-15,Germany,NOT RATED,5,87 min,"Directed by Benni Diez. With Matt O'Leary, Jessica Cook, Lance Henriksen, Clifton Collins Jr.. A fancy garden party turns into upper class prey when a colony of killer wasps mutates into seven foot tall predators.",Matt O'Leary|Jessica Cook|Lance Henriksen|Clifton Collins Jr.|Cecilia Pillado|Eve Slatner|Daniele Rizzo|Florentine Lahme|Kathleen Renish|Tony de Maeyer|David Masterson|Benedikt Bothe|Tommy Kreiselmaier|Benni Diez,English,Directed by Benni Diez," With Matt O'Leary, Jessica Cook, Lance Henriksen, Clifton Collins Jr",
L.A. Slasher ,2015, Horror,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,24-Jun-16,USA,R,3.5,86 min,"Directed by Martin Owen. With Andy Dick, Mischa Barton, Eric Roberts, Abigail Wright. Driven to rage over the tawdry excesses of reality television, a self-appointed cultural crusader kidnaps several very famous nobodies to make his point- but his crimes only generate more tabloid frenzy.",Andy Dick|Mischa Barton|Eric Roberts|Abigail Wright|Dave Bautista|Danny Trejo|Marisa Lauren|Brooke Hogan|Drake Bell|Korrina Rico|Elizabeth Morris|Tori Black|Tim Burke|Carlee Baker|Allison Kyler,English,Directed by Martin Owen," With Andy Dick, Mischa Barton, Eric Roberts, Abigail Wright"," Driven to rage over the tawdry excesses of reality television, a self-appointed cultural crusader kidnaps several very famous nobodies to make his point- but his crimes only generate more tabloid frenzy"
The Girl in the Photographs ,2015, Horror, Thriller,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,1-Apr-16,USA,R,4.5,95 min,"Directed by Nick Simon. With Kal Penn, Claudia Lee, Kenny Wormald, Toby Hemingway. A bored young woman in a sleepy community called Spearfish starts receiving photographs of brutally murdered young women. Are they real or staged? The culprit is either a serial killer or some creep with a sick sense of humour.",Kal Penn|Claudia Lee|Kenny Wormald|Toby Hemingway|Luke Baines|Miranda Rae Mayo|Katharine Isabelle|Mitch Pileggi|Toby Levins|Christy Carlson Romano|Oliver Seitz|Autumn Kendrick|Corey Schmitt|Eva Bourne|Kathryn Kirkpatrick,English,Directed by Nick Simon," With Kal Penn, Claudia Lee, Kenny Wormald, Toby Hemingway", A bored young woman in a sleepy community called Spearfish starts receiving photographs of brutally murdered young women
The Barrens ,2012, Horror,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,30-Nov-12,Germany,R,4.6,94 min,"Directed by Darren Lynn Bousman. With Stephen Moyer, Mia Kirshner, Allie MacDonald, Peter DaCunha. A man takes his family on a camping trip and becomes convinced they are being stalked by the legendary monster of the New Jersey Pine Barrens: the Jersey Devil.",Stephen Moyer|Mia Kirshner|Allie MacDonald|Peter DaCunha|David Keeley|Erik Knudsen|Shamier Anderson|Max Topplin|Michael Copeman|Shawn Ashmore|Athena Karkanis|J. LaRose|Chantelle Chung|Naomi Snieckus|Matt Baram,English,Directed by Darren Lynn Bousman," With Stephen Moyer, Mia Kirshner, Allie MacDonald, Peter DaCunha", A man takes his family on a camping trip and becomes convinced they are being stalked by the legendary monster of the New Jersey Pine Barrens: the Jersey Devil
Johnny Frank Garrett's Last Word ,2016, Horror, Thriller,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,21-Apr-17,Poland,NOT RATED,5,95 min,"Directed by Simon Rumley. With Sean Patrick Flanery, Erin Cummings, Mike Doyle, Dodge Prince. When a young man is executed for committing murder, he leaves behind a curse letter, promising vengeance for all those connected to his unfair trial.",Sean Patrick Flanery|Erin Cummings|Mike Doyle|Dodge Prince|Sue Rock|Cassie Shea Watson|Mike Gassaway|Jon Arthur|Jon Michael Davis|Chip Joslin|Rebekah Turner|Bill Stinchcomb|Holt Boggs|Tim Childress|Gregory Fountain,English,Directed by Simon Rumley," With Sean Patrick Flanery, Erin Cummings, Mike Doyle, Dodge Prince"," When a young man is executed for committing murder, he leaves behind a curse letter, promising vengeance for all those connected to his unfair trial"
Into the Grizzly Maze ,2015, Horror,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,13-Aug-15,Kuwait,R,5.3,94 min,"Directed by David Hackl. With James Marsden, Thomas Jane, Piper Perabo, Scott Glenn. Two estranged brothers reunite at their childhood home in the Alaskan wild. They set out on a two-day hike and are stalked by an unrelenting grizzly bear.",James Marsden|Thomas Jane|Piper Perabo|Scott Glenn|Michaela McManus|Billy Bob Thornton|Adam Beach|Kelly Curran|Reese Alexander|Luisa D'Oliveira|Sean Owen Roberts|Bill Croft|Mariel Belanger|Mark Acheson|Michael Jonsson,English|American Sign Language,Directed by David Hackl," With James Marsden, Thomas Jane, Piper Perabo, Scott Glenn", Two estranged brothers reunite at their childhood home in the Alaskan wild
Bastard ,2015, Horror,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,16-Oct-15,USA,R,4.6,82 min,"Directed by Powell Robinson, Patrick Robert Young. With Rebekah Kennedy, Ellis Greer, Dan Creed, Will Tranfo. Five strangers - newlywed serial killers, a suicidal cop, and two runaways - become suspect and victim when a masked murderer makes its presence known in an isolated mountain town.",Rebekah Kennedy|Ellis Greer|Dan Creed|Will Tranfo|Tonya Kay|Burt Culver|Ryan Shoos|Nadine Arlyn|Micah Fitzgerald|Brian Foyster|Kelly Hancock|Emily Lopato|Austin Nimnicht|Powell Robinson|Bobby T,English,"Directed by Powell Robinson, Patrick Robert Young"," With Rebekah Kennedy, Ellis Greer, Dan Creed, Will Tranfo"," Five strangers - newlywed serial killers, a suicidal cop, and two runaways - become suspect and victim when a masked murderer makes its presence known in an isolated mountain town"
