Review_Rating,,Review_Rating Avgerage,,,Movie Length,,Movie Length Average
5.4,,,,,92,,
7.8,,,,,135,,
5.3,,,,,86,,
6.7,,,,,99,,
4.1,,,,,96,,
7.2,,,,,104,,
5.9,,,,,97,,
5.3,,,,,87,,
4.6,,,,,95,,
6,,,,,102,,
3.2,,,,,83,,
5.4,,,,,89,,
5.8,,,,,93,,
5.3,,,,,90,,
5.5,,,,,87,,
6.5,,,,,92,,
5.3,,,,,97,,
3,,,,,88,,
1.9,,,,,80,,
5,,,,,90,,
5,,,,,90,,
4.8,,,,,88,,
4.5,,,,,90,,
3.5,,,,,75,,
3.7,,,,,88,,
5.5,,,,,84,,
4.6,,,,,82,,
5.6,,,,,83,,
4.8,,,,,91,,
5.7,,,,,64,,
5.1,,,,,104,,
3.3,,,,,82,,
5.2,,,,,85,,
5.2,,,,,94,,
5.3,,,,,92,,
5.2,,,,,84,,
4,,,,,90,,
5.6,,,,,75,,
3.5,,,,,86,,
4.7,,,,,84,,
4.6,,,,,87,,
3.2,,,,,90,,
4.7,,,,,89,,
3.9,,,,,89,,
5.7,,,,,120,,
4.5,,,,,86,,
2.7,,,,,84,,
4.5,,,,,96,,
5.1,,,,,80,,
6.8,,,,,99,,
4,,,,,84,,
4.8,,,,,93,,
4.5,,,,,96,,
5.2,,,,,84,,
3.5,,,,,81,,
3.9,,,,,87,,
3.6,,,,,91,,
4.2,,,,,84,,
4.7,,,,,100,,
4,,,,,90,,
6.9,,,,,108,,
5.8,,,,,89,,
5.4,,,,,91,,
5.4,,,,,93,,
4.9,,,,,89,,
4.4,,,,,87,,
5.2,,,,,102,,
4.5,,,,,85,,
6.7,,,,,129,,
5.1,,,,,87,,
3.7,,,,,82,,
6.2,,,,,93,,
4.9,,,,,92,,
5.5,,,,,85,,
4.2,,,,,81,,
1.6,,,,,83,,
5.2,,,,,114,,
3.5,,,,,84,,
4.6,,,,,87,,
4.5,,,,,91,,
8.1,,,,,127,,
5.5,,,,,92,,
4.5,,,,,88,,
6,,,,,127,,
3.8,,,,,90,,
4,,,,,70,,
4.2,,,,,80,,
4.1,,,,,90,,
4.2,,,,,81,,
6.3,,,,,98,,
4.6,,,,,89,,
5.5,,,,,79,,
5.4,,,,,120,,
6.4,,,,,73,,
4.8,,,,,85,,
4.5,,,,,80,,
4.9,,,,,93,,
4.2,,,,,81,,
4.8,,,,,96,,
4.7,,,,,80,,
5.2,,,,,89,,
3.6,,,,,89,,
5.2,,,,,95,,
4.8,,,,,89,,
4.7,,,,,80,,
6.7,,,,,108,,
5.1,,,,,95,,
4.8,,,,,86,,
4.6,,,,,80,,
3.3,,,,,81,,
5.3,,,,,108,,
3.6,,,,,84,,
6.7,,,,,83,,
4.5,,,,,90,,
4.8,,,,,92,,
6.9,,,,,121,,
5.7,,,,,108,,
5.3,,,,,86,,
3.8,,,,,95,,
5.2,,,,,87,,
5.1,,,,,80,,
4.9,,,,,80,,
4.3,,,,,76,,
4,,,,,89,,
2.6,,,,,85,,
5.6,,,,,85,,
5.4,,,,,110,,
3.4,,,,,88,,
